modelo,kernel,mae_medio,ide,isi,classe_isi,nugget,structured_variance
svr,linear,4.988377559290635,98.1119879539843,1.8880120460157104,forte,1.7896853856127134e-06,9.300236794844854e-05
svr,rbf,4.9906522694492,97.21507310946896,2.7849268905310542,forte,1e-10,3.490758534452268e-09
svr,poly,4.987389206248752,98.50150877933558,1.49849122066442,forte,4.247048985035337e-06,0.0002791746305328
krigagem,exponential,,100.0,0.0,forte,0.0,97.6
