x,y,Altitude
-53.83076317,-25.1083935,670.4
-53.83076383,-25.10839383,670.3
-53.83076433,-25.108394,670.2
-53.83076483,-25.10839417,670.1
-53.830765,-25.10839417,670.1
-53.83076567,-25.10839433,670
-53.83076767,-25.108393,670
-53.83077717,-25.10838733,669.9
-53.83078917,-25.10837933,669.8
-53.8308005,-25.10837117,669.8
-53.83081267,-25.1083615,669.8
-53.830827,-25.10835,669.9
-53.83084283,-25.10834,669.8
-53.830858,-25.10833117,669.8
-53.8308735,-25.10832233,669.6
-53.8308885,-25.10831233,669.7
-53.83090317,-25.10830167,669.7
-53.83091833,-25.10829183,669.8
-53.830936,-25.108282,669.9
-53.83095367,-25.108271,670
-53.8309715,-25.10825967,670
-53.83098883,-25.1082475,670.1
-53.83100633,-25.1082355,670.1
-53.83102383,-25.108223,670.3
-53.83104133,-25.1082115,670.2
-53.83105833,-25.10819917,670.2
-53.8310765,-25.1081875,670.1
-53.83109417,-25.10817567,670.1
-53.83111183,-25.10816417,670.1
-53.83112983,-25.10815283,670.1
-53.831148,-25.108142,670
-53.83116583,-25.1081305,670.1
-53.83118383,-25.108119,670.1
-53.831202,-25.10810733,670
-53.8312205,-25.108096,670
-53.83123967,-25.1080845,670
-53.83125833,-25.10807283,669.9
-53.83127767,-25.1080615,669.8
-53.831297,-25.10805,669.8
-53.83131617,-25.10803867,669.8
-53.831335,-25.10802717,669.9
-53.83135383,-25.10801583,669.9
-53.831373,-25.10800433,670
-53.83139133,-25.10799183,670.1
-53.8314075,-25.10797733,670.3
-53.831425,-25.10796267,670.1
-53.83144267,-25.1079495,670.2
-53.83146083,-25.107937,670.2
-53.83147967,-25.10792467,670.3
-53.83149883,-25.10791317,670.3
-53.831519,-25.10790267,670
-53.83153833,-25.10788933,669.9
-53.831558,-25.10787617,669.8
-53.83157717,-25.10786367,669.7
-53.83159417,-25.1078525,669.6
-53.83161167,-25.107841,669.5
-53.831629,-25.10782983,669.5
-53.83164633,-25.10781933,669.5
-53.8316635,-25.10780833,669.5
-53.83168183,-25.1077975,669.4
-53.83169983,-25.10778683,669.4
-53.83171883,-25.10777667,669.2
-53.83173717,-25.10776567,669.3
-53.83175517,-25.10775483,669.3
-53.8317745,-25.10774383,669.2
-53.831794,-25.1077335,669.1
-53.8318135,-25.10772267,669
-53.83183133,-25.10771017,669.1
-53.83185017,-25.1076985,669.1
-53.83186783,-25.10768567,669
-53.8318855,-25.1076735,669.1
-53.83190417,-25.10766167,669
-53.83192317,-25.10765083,669
-53.831942,-25.10763933,668.9
-53.8319605,-25.10762733,669
-53.83197983,-25.1076165,669
-53.83199983,-25.10760667,668.8
-53.83202017,-25.1075975,668.8
-53.83203983,-25.10758767,668.8
-53.83206017,-25.1075775,668.7
-53.83208067,-25.107568,668.6
-53.83210167,-25.10756067,668.6
-53.832122,-25.10755267,668.7
-53.83214167,-25.10754417,668.6
-53.83215683,-25.10753633,668.5
-53.832168,-25.10752833,668.7
-53.832176,-25.10752317,668.8
-53.83217983,-25.10752117,668.8
-53.83218017,-25.10752083,668.8
-53.83218,-25.10752067,668.9
-53.83217983,-25.1075205,669
-53.83218,-25.10752033,669
-53.83218,-25.10752033,669
-53.83218,-25.1075205,669.1
-53.83218017,-25.10752067,669.1
