x,y,Altitude
-53.832181,-25.10752033,669.1
-53.83218467,-25.10751767,669.2
-53.83218967,-25.10751033,669.1
-53.83219317,-25.10750117,668.9
-53.8321965,-25.10749083,668.9
-53.83220333,-25.10747833,669
-53.83221583,-25.10746867,668.9
-53.832229,-25.10746633,669
-53.83223567,-25.10746583,669.2
-53.83224133,-25.107467,669.5
-53.8322465,-25.10746867,669.4
-53.832251,-25.10747017,669.5
-53.83225667,-25.10747417,669.5
-53.832263,-25.10748117,669.4
-53.832268,-25.10749067,669.3
-53.832269,-25.10749967,669.4
-53.83226783,-25.1075065,669.5
-53.83226583,-25.10751283,669.4
-53.83226467,-25.107516,669.2
-53.83226283,-25.10751917,669.1
-53.8322575,-25.107525,668.9
-53.83224633,-25.10753117,669.1
-53.83223283,-25.10753467,668.9
-53.8322175,-25.1075355,669.2
-53.83220133,-25.1075375,669.6
-53.832186,-25.10754033,669.9
-53.8321715,-25.1075455,670
-53.83215817,-25.10755217,670.1
-53.8321455,-25.10756,670.2
-53.83213267,-25.1075685,670.4
-53.83212083,-25.10757783,670.5
-53.83210867,-25.10758733,670.7
-53.8320965,-25.1075965,670.7
-53.832084,-25.107605,670.9
-53.83207117,-25.1076135,671
-53.832058,-25.10762117,671.2
-53.832045,-25.10762967,671.3
-53.83203283,-25.10763783,671.4
-53.83202117,-25.10764583,671.5
-53.83200983,-25.10765367,671.7
-53.83199883,-25.10766133,671.8
-53.83199267,-25.1076655,671.9
-53.83199133,-25.10766617,672
-53.83199133,-25.10766633,672.1
-53.83199017,-25.10766717,672.2
-53.83198717,-25.1076695,672.3
-53.8319855,-25.10767083,672.4
-53.8319855,-25.10767117,672.5
-53.83198383,-25.1076725,672.5
-53.83198017,-25.10767567,672.6
-53.8319755,-25.10767883,672.6
-53.83197233,-25.1076805,672.6
-53.83197167,-25.107681,672.7
-53.8319715,-25.10768083,672.7
-53.8319715,-25.107681,672.7
-53.83197083,-25.10768133,672.8
-53.8319675,-25.10768383,672.8
-53.83195833,-25.10769017,672.9
-53.83194183,-25.10770183,673
-53.83191567,-25.1077205,673.1
-53.83188717,-25.10774133,673.2
-53.83185933,-25.10776283,673.2
-53.83183117,-25.1077835,673.2
-53.8318025,-25.10780433,673.2
-53.83177417,-25.10782567,673.3
-53.83174567,-25.1078465,673.3
-53.83171717,-25.10786667,673.4
-53.83169033,-25.1078835,673.3
-53.8316675,-25.10789933,673.4
-53.8316455,-25.10791517,673.5
-53.83162283,-25.10793083,673.6
-53.8316,-25.10794617,673.7
-53.83157767,-25.10796217,673.8
-53.83155533,-25.1079775,673.9
-53.831533,-25.10799367,673.9
-53.8315105,-25.10801033,674
-53.831488,-25.10802683,674.1
-53.831465,-25.108043,674.2
-53.83144233,-25.108059,674.2
-53.83141983,-25.1080755,674.3
-53.8313975,-25.108092,674.4
-53.8313755,-25.10810867,674.4
-53.831354,-25.10812583,674.4
-53.83133233,-25.10814283,674.5
-53.83131017,-25.10815967,674.5
-53.83128683,-25.10817533,674.5
-53.831263,-25.10819083,674.5
-53.831239,-25.10820617,674.4
-53.83121433,-25.1082205,674.4
-53.83118917,-25.10823433,674.4
-53.83116417,-25.10824817,674.4
-53.831139,-25.10826183,674.4
-53.83111383,-25.10827717,674.2
-53.8310895,-25.1082935,674.2
-53.83106567,-25.10831067,674
-53.83104183,-25.108328,674
-53.83101833,-25.10834517,673.9
-53.83099533,-25.1083625,673.9
-53.83097217,-25.10838067,673.8
-53.830949,-25.10839783,673.7
-53.8309255,-25.108414,673.7
-53.830902,-25.10843033,673.6
-53.83088133,-25.1084445,673.6
-53.8308635,-25.1084565,673.6
-53.83084633,-25.10846817,673.6
-53.83082967,-25.108479,673.6
-53.83081667,-25.10848817,673.6
-53.83080733,-25.10849433,673.5
-53.83080117,-25.10849883,673.6
-53.83079767,-25.10850133,673.7
-53.83079567,-25.10850283,673.7
-53.830793,-25.10850483,673.7
-53.83078833,-25.10850833,673.9
-53.83078117,-25.10851367,673.9
-53.8307705,-25.10852133,673.9
-53.83075733,-25.108531,673.8
-53.8307445,-25.108542,673.8
-53.8307335,-25.108552,673.8
-53.83072667,-25.108558,673.6
-53.83072533,-25.108559,673.6
-53.83072517,-25.10855917,673.6
-53.830725,-25.10855983,673.7
-53.8307245,-25.10856017,673.6
-53.83072283,-25.10856117,673.6
-53.83071967,-25.10856283,673.6
-53.8307125,-25.10856583,673.6
-53.83070233,-25.10856767,673.4
-53.83069233,-25.10856717,673.4
-53.8306845,-25.10856483,673.4
-53.8306765,-25.10856167,673.5
-53.830668,-25.10855633,673.5
-53.8306585,-25.108548,673.4
-53.83065167,-25.10853767,673.4
-53.83064917,-25.10852683,673.3
-53.8306505,-25.10851683,673.2
-53.83065383,-25.108507,673.2
-53.83066017,-25.108499,673.2
-53.830668,-25.10849383,673.3
-53.83067867,-25.10849083,673
-53.8306935,-25.10848767,673
-53.83071117,-25.10848717,672.9
-53.83072717,-25.10848633,673
-53.83074417,-25.10848433,673
-53.83076517,-25.10847933,672.9
-53.83078567,-25.10847217,673.1
-53.830806,-25.108464,673.2
-53.83082783,-25.10845383,673.2
-53.83085017,-25.1084415,673.2
-53.830874,-25.10842783,673.2
-53.83089967,-25.108412,673.3
-53.83092533,-25.108396,673.5
-53.83095,-25.10837983,673.7
-53.83097467,-25.10836317,673.6
-53.83100017,-25.1083475,673.7
-53.83102633,-25.108333,673.8
-53.831053,-25.10831867,673.8
-53.83108017,-25.1083055,673.9
-53.831109,-25.10829533,674
-53.8311385,-25.108287,674
-53.831168,-25.10828017,674.2
-53.83119717,-25.10827067,674.3
-53.83122633,-25.10825933,674.3
-53.8312535,-25.108245,674.5
-53.83127983,-25.10822917,674.6
-53.83131017,-25.10821133,674.7
-53.8313415,-25.1081915,674.8
-53.83137333,-25.10817067,674.7
-53.83140383,-25.10814983,674.7
-53.83143267,-25.1081295,674.7
-53.831461,-25.10810967,674.7
-53.83148933,-25.10808933,674.6
-53.831517,-25.1080695,674.7
-53.83154433,-25.10804967,674.7
-53.83157167,-25.1080295,674.6
-53.83159933,-25.1080095,674.6
-53.83162717,-25.1079895,674.5
-53.83165517,-25.10797033,674.5
-53.83168317,-25.10795133,674.4
-53.83171083,-25.10793167,674.4
-53.83173883,-25.10791217,674.3
-53.831766,-25.10789117,674.1
-53.83179317,-25.10787017,673.9
-53.83182033,-25.10784917,673.8
-53.8318465,-25.10782733,673.6
-53.831873,-25.10780617,673.5
-53.8319,-25.107785,673.4
-53.83192733,-25.1077645,673.3
-53.83195183,-25.10774683,673.1
-53.831974,-25.1077305,672.9
-53.831994,-25.10771317,672.8
-53.832013,-25.10769483,672.4
-53.83202817,-25.10767467,672.5
-53.83204133,-25.10765333,672.2
-53.8320525,-25.10763233,672.1
-53.832065,-25.10761267,672.2
-53.83208,-25.10759383,672.1
-53.8321,-25.1075815,671.9
-53.832122,-25.10757833,671.7
-53.83213833,-25.1075815,671.8
-53.832147,-25.10758783,671.7
-53.8321525,-25.10759517,671.7
-53.83215567,-25.10760217,671.7
-53.83215633,-25.107608,671.8
-53.8321565,-25.107614,671.7
-53.83215617,-25.10761933,671.9
-53.83215417,-25.10762867,671.8
-53.83214833,-25.10764033,671.7
-53.83213667,-25.10765067,671.6
-53.8321215,-25.10766,671.5
-53.83210383,-25.10767117,671.5
-53.83208317,-25.107687,671.6
-53.832063,-25.10770583,671.5
-53.83204333,-25.10772533,671.5
-53.83202233,-25.10774783,671.5
-53.8319995,-25.1077715,671.5
-53.831975,-25.10779533,671.5
-53.8319495,-25.10782083,671.5
-53.83192183,-25.1078485,671.5
-53.83189183,-25.10787517,671.6
-53.83186133,-25.10790017,671.7
-53.83183083,-25.107925,671.8
-53.831802,-25.1079475,671.8
-53.83177317,-25.10796933,671.7
-53.831744,-25.10799017,671.6
-53.83171583,-25.108012,671.6
-53.83168683,-25.10803283,671.5
-53.83165683,-25.10805333,671.6
-53.8316275,-25.10807417,671.6
-53.83159817,-25.10809517,671.6
-53.83157017,-25.10811667,671.6
-53.83154317,-25.10813983,671.7
-53.8315155,-25.10816383,671.6
-53.83148783,-25.10818717,671.6
-53.8314585,-25.10821167,671.7
-53.831428,-25.10823583,671.7
-53.8313965,-25.108259,671.7
-53.83136283,-25.10828,671.7
-53.83132867,-25.10829967,671.6
-53.83129417,-25.10831833,671.7
-53.8312585,-25.10833583,671.6
-53.83122233,-25.10835217,671.7
-53.83118617,-25.108369,671.8
-53.83115,-25.10838617,671.7
-53.83111933,-25.10840267,671.6
-53.83109467,-25.1084165,671.6
-53.83106833,-25.10842817,671.7
-53.83103717,-25.10844,671.6
-53.83100567,-25.10845,671.5
-53.830981,-25.10845883,671.4
-53.8309645,-25.108468,671.4
-53.83095367,-25.108476,671.7
-53.83094917,-25.10848217,671.7
-53.83094783,-25.10848817,671.6
-53.83094867,-25.10849467,671.6
-53.83095183,-25.10850167,671.4
-53.8309575,-25.10850917,671.2
-53.83096733,-25.108514,671
-53.83098133,-25.108515,670.9
-53.83099733,-25.10851133,671.1
-53.8310165,-25.10850067,671.4
-53.8310405,-25.10848833,671.5
-53.83107167,-25.10847883,671.6
-53.83110567,-25.10847067,671.6
-53.83113933,-25.10846,671.8
-53.83117517,-25.10844683,671.8
-53.83121317,-25.10843567,672
-53.8312525,-25.1084265,672.2
-53.83129283,-25.10841983,672.2
-53.83133267,-25.10841367,672.2
-53.83137183,-25.1084055,672.2
-53.83141067,-25.10839517,672.3
-53.831449,-25.108384,672.3
-53.83148617,-25.1083695,672.2
-53.83152117,-25.10835117,672.3
-53.83155417,-25.10833,672.3
-53.83158367,-25.108306,672.3
-53.83161183,-25.10827983,672.2
-53.83163867,-25.10825183,672.3
-53.83166367,-25.1082225,672.5
-53.83168867,-25.10819117,672.5
-53.83171333,-25.10815767,672.6
-53.83173717,-25.10812317,672.5
-53.83176117,-25.10808867,672.5
-53.8317855,-25.10805417,672.5
-53.83181,-25.10802017,672.4
-53.8318345,-25.10798583,672.3
-53.83185933,-25.10795133,672.3
-53.831885,-25.1079175,672.2
-53.83191117,-25.107884,672
-53.8319375,-25.1078505,671.9
-53.83196433,-25.10781783,671.8
-53.83199167,-25.10778517,671.9
-53.8320205,-25.107753,671.8
-53.83205217,-25.107723,671.7
-53.832084,-25.10769367,671.6
-53.832114,-25.107664,671.4
-53.83214017,-25.10763783,671.3
-53.8321615,-25.10761517,671.3
-53.83218017,-25.10759283,671.1
-53.832198,-25.10757117,671
-53.83221717,-25.10755067,670.8
-53.83223417,-25.107531,670.7
-53.83224883,-25.10751517,670.5
-53.83226233,-25.10750217,670.4
-53.83227467,-25.1074925,670.2
-53.832288,-25.10748067,670.1
-53.83230533,-25.10746783,669.9
-53.83232633,-25.10746083,670
-53.8323415,-25.1074585,669.9
-53.83234817,-25.10745733,669.9
-53.83234967,-25.10745667,670.2
-53.83235083,-25.1074565,670.3
-53.83235583,-25.10745667,670.5
-53.83236733,-25.10745883,670.6
-53.83238017,-25.10746333,670.9
-53.83238283,-25.10746417,670.9
-53.83238283,-25.10746417,671
-53.83238683,-25.10746583,671
-53.83239633,-25.10747283,671.1
-53.83240633,-25.10748683,671.2
-53.83240933,-25.10750717,671.1
-53.8324055,-25.1075245,671
-53.83239717,-25.10753567,670.9
-53.8323855,-25.10754583,671
-53.83236933,-25.10755433,671.2
-53.83234817,-25.107564,671.4
-53.8323265,-25.10757667,671.3
-53.83230767,-25.10759117,671.4
-53.83229267,-25.107603,671.5
-53.8322805,-25.107614,671.5
-53.83226667,-25.10762833,671.4
-53.83224833,-25.10765,671.3
-53.83222517,-25.10768167,671.2
-53.83220283,-25.10771517,671.1
-53.83218483,-25.10774267,671
-53.8321695,-25.10776617,670.8
-53.83215317,-25.1077905,670.7
-53.83213667,-25.10781533,670.6
-53.83212017,-25.10783983,670.5
-53.83210383,-25.107865,670.3
-53.83208783,-25.10789017,670.2
-53.83207033,-25.10791633,670.1
-53.83205217,-25.10794383,670.1
-53.83203433,-25.10797133,670.1
-53.832017,-25.10799933,670
-53.832,-25.10802817,670
-53.83198217,-25.1080585,670
-53.83196217,-25.10809267,670
-53.83194017,-25.10812867,669.9
-53.83191917,-25.108162,669.9
-53.83189533,-25.1081955,669.9
-53.83186967,-25.10822933,669.9
-53.83184433,-25.1082595,669.9
-53.831818,-25.10828983,669.9
-53.83179,-25.10832133,669.9
-53.8317595,-25.10835083,669.9
-53.83172833,-25.1083795,669.9
-53.83169617,-25.10840667,670
-53.83166167,-25.10843217,670.1
-53.83162583,-25.10845583,670.2
-53.831589,-25.1084775,670.4
-53.8315515,-25.108497,670.4
-53.8315165,-25.10851383,670.4
-53.83148367,-25.10852833,670.3
-53.83145033,-25.10854183,670.4
-53.83141683,-25.1085535,670.4
-53.83137983,-25.108564,670.4
-53.83134067,-25.10857383,670.3
-53.83130133,-25.10858317,670.3
-53.83126233,-25.10859283,670.3
-53.83122283,-25.108602,670.3
-53.831183,-25.10860983,670.2
-53.831143,-25.108616,670.2
-53.83110317,-25.10862217,670.1
-53.83106317,-25.1086275,670.2
-53.831023,-25.10863167,670.2
-53.830983,-25.10863467,670.3
-53.83094317,-25.10863717,670.2
-53.8309035,-25.10864017,670.1
-53.83086417,-25.10864417,670.2
-53.83082467,-25.10864667,670.2
-53.83078733,-25.1086485,670.3
-53.83075667,-25.10865033,670.4
-53.83072917,-25.10865217,670.5
-53.83070283,-25.10865283,670.5
-53.83067967,-25.10865267,670.7
-53.8306585,-25.10865233,670.8
-53.830642,-25.108651,670.8
-53.83063183,-25.10864983,671
-53.83062833,-25.10864917,671
-53.8306275,-25.108649,671.2
-53.83062733,-25.10864883,671.2
-53.83062733,-25.10864867,671.2
-53.8306275,-25.1086485,671.2
-53.8306275,-25.1086485,671.2
-53.83062783,-25.10864817,671.3
-53.830628,-25.10864817,671.3
-53.83062833,-25.10864783,671.4
-53.83062867,-25.1086475,671.3
-53.83062883,-25.1086475,671.3
-53.83062917,-25.10864733,671.3
-53.8306295,-25.10864717,671.3
-53.83063,-25.108647,671.3
-53.83063017,-25.108647,671.4
-53.83063033,-25.108647,671.4
-53.8306305,-25.10864683,671.5
-53.8306305,-25.10864667,671.6
-53.83063067,-25.10864633,671.6
-53.83063067,-25.10864617,671.6
-53.83063067,-25.108646,671.6
-53.830628,-25.10864583,671.6
-53.8306185,-25.10864533,671.7
-53.83060067,-25.10864183,671.6
-53.83058083,-25.108636,671.7
-53.83056133,-25.1086285,671.7
-53.83054133,-25.10862117,671.6
-53.83052317,-25.10861567,671.5
-53.83050633,-25.108613,671.6
-53.83048817,-25.108615,671.7
-53.83047133,-25.1086195,671.5
-53.83045333,-25.10862867,671.8
-53.83043633,-25.10864017,671.7
-53.830419,-25.10865233,671.9
-53.83040283,-25.10866533,671.8
-53.8303875,-25.10867917,671.8
-53.83037,-25.10869267,671.6
-53.83035267,-25.108704,671.7
-53.83033867,-25.10871317,671.7
-53.8303245,-25.1087235,671.8
-53.83030483,-25.10873767,671.8
-53.830278,-25.10875783,671.8
-53.83025,-25.1087765,671.7
-53.83022367,-25.10879333,671.5
-53.83019767,-25.1088105,671.5
-53.83017167,-25.1088285,671.5
-53.83014533,-25.108846,671.6
-53.83011917,-25.10886367,671.6
-53.83009217,-25.10888283,671.5
-53.83006467,-25.1089015,671.6
-53.8300405,-25.10892,671.6
-53.8300175,-25.10893733,671.6
-53.82999433,-25.10895467,671.5
-53.8299715,-25.108973,671.4
-53.82994783,-25.10899083,671.2
-53.8299225,-25.10900967,671
-53.82989583,-25.10902917,670.9
-53.82986917,-25.10904883,670.9
-53.82984433,-25.10906583,670.9
-53.82982167,-25.10908183,670.8
-53.8297995,-25.109098,670.7
-53.82977767,-25.10911417,670.8
-53.82975283,-25.1091315,670.8
-53.8297295,-25.1091475,670.6
-53.82970983,-25.10916117,670.6
-53.82969,-25.10917517,670.6
-53.82966983,-25.10919,670.4
-53.8296495,-25.10920583,670.2
-53.829629,-25.10922183,670.1
-53.82960817,-25.10923683,670
-53.8295875,-25.10925183,670.1
-53.8295665,-25.10926633,670.1
-53.82954683,-25.109278,670.1
-53.82953233,-25.109288,670
-53.82952217,-25.109295,669.9
-53.82951383,-25.10930083,669.9
-53.82950317,-25.10930717,670
-53.82948783,-25.10931733,669.9
-53.829466,-25.10933283,669.9
-53.8294395,-25.10935333,669.9
-53.829411,-25.10937417,670
-53.82938217,-25.1093935,670
-53.8293585,-25.10941,669.9
-53.8293375,-25.109426,669.8
-53.82931733,-25.10944183,669.9
-53.82929617,-25.109459,669.8
-53.82927233,-25.10947767,669.7
-53.82924833,-25.109497,669.7
-53.8292245,-25.1095165,669.7
-53.82920133,-25.10953667,669.7
-53.829178,-25.1095565,669.7
-53.82915483,-25.10957633,669.8
-53.8291325,-25.10959567,669.8
-53.82911467,-25.1096125,669.7
-53.82909667,-25.109629,669.8
-53.82907567,-25.1096485,669.7
-53.82905133,-25.10967117,669.7
-53.8290245,-25.109693,669.6
-53.82899567,-25.10971133,669.7
-53.8289665,-25.109729,669.7
-53.82894217,-25.10974267,669.7
-53.82892333,-25.10975483,669.7
-53.82890833,-25.10976467,669.6
-53.82889533,-25.10977383,669.6
-53.82888167,-25.10978133,669.6
-53.82886833,-25.1097895,669.5
-53.82885917,-25.10979917,669.6
-53.82885667,-25.10981167,669.3
-53.8288595,-25.10982433,669
-53.82886933,-25.10983367,668.9
-53.828881,-25.10983867,669
-53.82889333,-25.1098375,668.9
-53.8289035,-25.10983133,668.9
-53.82891167,-25.10982317,668.9
-53.8289155,-25.10981917,668.8
-53.8289165,-25.10981883,668.8
-53.82891667,-25.10981917,668.8
-53.828917,-25.10981967,668.7
-53.82891717,-25.10981967,668.7
-53.82891733,-25.1098195,668.7
-53.82891717,-25.10981933,668.8
-53.82891717,-25.1098195,668.7
-53.82891717,-25.10981967,668.8
-53.82891717,-25.10981983,668.8
-53.8289175,-25.10982,668.9
-53.8289175,-25.10982,668.9
-53.82891783,-25.10982033,669
-53.82891783,-25.1098205,668.9
-53.828918,-25.10982067,668.9
-53.828918,-25.10982083,669
-53.82891817,-25.10982117,669
-53.82891833,-25.10982133,669
-53.8289185,-25.1098215,669
-53.82891867,-25.10982183,669
-53.828919,-25.10982183,669.1
-53.8289195,-25.10982217,669
-53.82891967,-25.10982233,669.1
-53.82891983,-25.1098225,669.1
-53.82892,-25.10982283,669.1
-53.82892033,-25.109823,669.1
-53.82892067,-25.109823,669
-53.828921,-25.109823,669
-53.82892117,-25.10982333,668.9
-53.8289215,-25.1098235,668.9
-53.828922,-25.10982383,668.9
-53.82892217,-25.109824,668.9
-53.82892233,-25.109824,668.9
-53.828923,-25.10982433,668.9
-53.82892367,-25.1098245,668.9
-53.82892417,-25.10982483,668.9
-53.82892467,-25.10982483,668.8
-53.828925,-25.10982533,668.7
-53.8289255,-25.10982567,668.7
-53.82892567,-25.10982583,668.7
-53.828926,-25.10982617,668.7
-53.82892633,-25.10982633,668.6
-53.82892633,-25.10982617,668.6
-53.82892667,-25.10982633,668.5
-53.828927,-25.1098265,668.5
-53.82892733,-25.1098265,668.4
-53.8289275,-25.10982667,668.3
-53.82892783,-25.10982667,668.2
-53.828928,-25.10982667,668.2
-53.82892833,-25.10982683,668.1
-53.8289285,-25.109827,668.1
-53.82892883,-25.109827,668.1
-53.82892917,-25.10982717,668
-53.82892933,-25.10982733,668
-53.8289295,-25.1098275,667.9
-53.82892967,-25.10982767,667.9
-53.82892967,-25.10982767,667.9
-53.82892967,-25.10982767,667.8
-53.82892967,-25.10982783,667.8
-53.82892967,-25.109828,667.7
-53.82892967,-25.10982833,667.7
-53.82893,-25.1098285,667.6
-53.82893017,-25.1098285,667.5
-53.82893017,-25.10982833,667.4
-53.82893017,-25.1098285,667.3
-53.82893017,-25.1098285,667.3
-53.82893017,-25.1098285,667.2
-53.82893033,-25.1098285,667.1
-53.8289305,-25.10982833,667
-53.8289305,-25.1098285,667
-53.8289305,-25.1098285,666.9
-53.82893067,-25.10982867,666.9
-53.82893067,-25.10982867,666.8
-53.82893083,-25.10982833,666.8
-53.828931,-25.10982833,666.7
-53.828931,-25.10982817,666.7
-53.82893083,-25.10982783,666.7
-53.82893083,-25.10982783,666.6
-53.82893083,-25.1098275,666.7
-53.828931,-25.1098275,666.6
-53.82893117,-25.10982767,666.5
-53.8289315,-25.10982783,666.5
-53.82893167,-25.10982783,666.5
-53.82893167,-25.10982733,666.5
-53.828932,-25.1098265,666.5
-53.82893433,-25.109824,666.5
-53.82894217,-25.1098175,666.5
-53.82895467,-25.10980683,666.5
-53.828971,-25.10979383,666.5
-53.82898883,-25.10978017,666.5
-53.82900683,-25.10976667,666.5
-53.829025,-25.10975283,666.7
-53.82904133,-25.1097385,666.6
-53.829056,-25.10972667,666.7
-53.82907533,-25.10971167,666.8
-53.82909967,-25.10969283,666.9
-53.82912467,-25.109673,667.1
-53.82914933,-25.10965333,667.3
-53.82917433,-25.10963483,667.2
-53.82919867,-25.10961583,667.2
-53.829222,-25.10959567,667.2
-53.82924567,-25.1095755,667.2
-53.82927017,-25.10955633,667.2
-53.82929533,-25.10953767,667.3
-53.82932117,-25.109519,667.4
-53.8293475,-25.10950083,667.5
-53.82937517,-25.10948217,667.5
-53.82940383,-25.109464,667.5
-53.82943267,-25.10944583,667.7
-53.82946133,-25.109428,667.8
-53.829486,-25.10941283,667.9
-53.82951067,-25.10939733,668.1
-53.82953633,-25.10938117,668.2
-53.82956233,-25.10936583,668.3
-53.8295885,-25.10935033,668.5
-53.82961433,-25.10933417,668.6
-53.829641,-25.109319,668.8
-53.82966767,-25.1093035,668.8
-53.829694,-25.10928667,668.9
-53.8297205,-25.10927,669.1
-53.82974667,-25.109253,669.2
-53.82977267,-25.10923567,669.3
-53.829799,-25.10921883,669.4
-53.82982517,-25.10920083,669.6
-53.82985167,-25.10918283,669.7
-53.82987867,-25.1091645,669.7
-53.82990533,-25.10914583,669.8
-53.82993267,-25.10912767,669.7
-53.82996,-25.10911,669.8
-53.82998733,-25.10909267,669.8
-53.83001433,-25.109075,670
-53.8300415,-25.109058,670.1
-53.83006917,-25.10904033,670.2
-53.83009667,-25.10902233,670.2
-53.83012467,-25.10900433,670.4
-53.830153,-25.10898567,670.7
-53.83018067,-25.10896767,670.9
-53.8302085,-25.10894983,671.1
-53.830236,-25.10893017,671.1
-53.83026383,-25.108912,671.2
-53.83029167,-25.1088955,671.5
-53.83032033,-25.108879,671.5
-53.83034917,-25.10886333,671.9
-53.83037983,-25.10884883,671.9
-53.83041117,-25.108836,672.1
-53.83044333,-25.10882533,672.3
-53.83047667,-25.108817,672.5
-53.83051083,-25.10881033,672.3
-53.83054533,-25.10880533,672.3
-53.83057967,-25.10880033,672.2
-53.83061417,-25.108796,672.3
-53.83064817,-25.10879167,672.2
-53.83068317,-25.10878717,672.4
-53.83071867,-25.10878233,672.5
-53.830754,-25.1087775,672.6
-53.83078933,-25.10877267,672.7
-53.830825,-25.10876867,672.8
-53.830861,-25.108765,672.8
-53.83089617,-25.108762,672.9
-53.8309315,-25.10875917,672.8
-53.83096717,-25.10875517,672.8
-53.83100267,-25.10875167,672.7
-53.831038,-25.10874817,672.6
-53.83107317,-25.10874383,672.6
-53.83110867,-25.10873917,672.6
-53.83114367,-25.10873367,672.7
-53.83117883,-25.10872733,672.7
-53.83121417,-25.108721,672.8
-53.8312495,-25.108715,672.9
-53.83128467,-25.1087085,673
-53.83131967,-25.10870233,673.1
-53.8313545,-25.10869567,673.2
-53.83138967,-25.108689,673.3
-53.83142467,-25.10868183,673.4
-53.83145967,-25.10867383,673.4
-53.8314945,-25.10866533,673.2
-53.831529,-25.1086555,673.2
-53.83156267,-25.10864433,673.2
-53.83159633,-25.10863217,673.1
-53.83162967,-25.1086195,672.9
-53.83166217,-25.10860567,672.9
-53.8316945,-25.10859117,672.9
-53.83172617,-25.10857583,672.8
-53.831757,-25.108559,672.8
-53.83178733,-25.10854117,672.7
-53.83181767,-25.10852167,672.7
-53.83184683,-25.10849967,672.6
-53.83187483,-25.10847583,672.5
-53.83190217,-25.10845133,672.4
-53.83192783,-25.10842567,672.4
-53.8319515,-25.1083985,672.4
-53.83197383,-25.10837067,672.4
-53.83199467,-25.1083415,672.5
-53.83201467,-25.1083115,672.4
-53.83203433,-25.108281,672.3
-53.83205367,-25.10825083,672.3
-53.83207433,-25.10822083,672.2
-53.83209533,-25.10819117,672.1
-53.83211617,-25.10816167,671.9
-53.83213717,-25.10813217,671.7
-53.83215683,-25.10810217,671.6
-53.83217617,-25.10807167,671.6
